year month day load temp load_lag_1 load_lag_2 load_lag_3 load_lag_4 load_lag_5 load_lag_6 load_lag_7 temp_lag_1 temp_lag_2 temp_lag_3 temp_lag_4 temp_lag_5 temp_lag_6 temp_lag_7
2007 Jan 08 22.7916666666667 22.7916666666667 20.5 21.0666666666667 22.0333333333333 24.7583333333333 23.8375 24.1916666666667 28.925 20.5 21.0666666666667 22.0333333333333 24.7583333333333 23.8375 24.1916666666667 28.925
2007 Jan 09 24.4083333333333 24.4083333333333 22.7916666666667 20.5 21.0666666666667 22.0333333333333 24.7583333333333 23.8375 24.1916666666667 22.7916666666667 20.5 21.0666666666667 22.0333333333333 24.7583333333333 23.8375 24.1916666666667
2007 Jan 10 24.875 24.875 24.4083333333333 22.7916666666667 20.5 21.0666666666667 22.0333333333333 24.7583333333333 23.8375 24.4083333333333 22.7916666666667 20.5 21.0666666666667 22.0333333333333 24.7583333333333 23.8375
2007 Jan 11 23.7666666666667 23.7666666666667 24.875 24.4083333333333 22.7916666666667 20.5 21.0666666666667 22.0333333333333 24.7583333333333 24.875 24.4083333333333 22.7916666666667 20.5 21.0666666666667 22.0333333333333 24.7583333333333
2007 Jan 12 24.9583333333333 24.9583333333333 23.7666666666667 24.875 24.4083333333333 22.7916666666667 20.5 21.0666666666667 22.0333333333333 23.7666666666667 24.875 24.4083333333333 22.7916666666667 20.5 21.0666666666667 22.0333333333333
2007 Jan 13 23.4333333333333 23.4333333333333 24.9583333333333 23.7666666666667 24.875 24.4083333333333 22.7916666666667 20.5 21.0666666666667 24.9583333333333 23.7666666666667 24.875 24.4083333333333 22.7916666666667 20.5 21.0666666666667
2007 Jan 14 17.9083333333333 17.9083333333333 23.4333333333333 24.9583333333333 23.7666666666667 24.875 24.4083333333333 22.7916666666667 20.5 23.4333333333333 24.9583333333333 23.7666666666667 24.875 24.4083333333333 22.7916666666667 20.5
2007 Jan 15 17.8375 17.8375 17.9083333333333 23.4333333333333 24.9583333333333 23.7666666666667 24.875 24.4083333333333 22.7916666666667 17.9083333333333 23.4333333333333 24.9583333333333 23.7666666666667 24.875 24.4083333333333 22.7916666666667
2007 Jan 16 20.0166666666667 20.0166666666667 17.8375 17.9083333333333 23.4333333333333 24.9583333333333 23.7666666666667 24.875 24.4083333333333 17.8375 17.9083333333333 23.4333333333333 24.9583333333333 23.7666666666667 24.875 24.4083333333333
2007 Jan 17 23.2916666666667 23.2916666666667 20.0166666666667 17.8375 17.9083333333333 23.4333333333333 24.9583333333333 23.7666666666667 24.875 20.0166666666667 17.8375 17.9083333333333 23.4333333333333 24.9583333333333 23.7666666666667 24.875
2007 Jan 18 21.8875 21.8875 23.2916666666667 20.0166666666667 17.8375 17.9083333333333 23.4333333333333 24.9583333333333 23.7666666666667 23.2916666666667 20.0166666666667 17.8375 17.9083333333333 23.4333333333333 24.9583333333333 23.7666666666667
2007 Jan 19 20.5208333333333 20.5208333333333 21.8875 23.2916666666667 20.0166666666667 17.8375 17.9083333333333 23.4333333333333 24.9583333333333 21.8875 23.2916666666667 20.0166666666667 17.8375 17.9083333333333 23.4333333333333 24.9583333333333
2007 Jan 20 20.2958333333333 20.2958333333333 20.5208333333333 21.8875 23.2916666666667 20.0166666666667 17.8375 17.9083333333333 23.4333333333333 20.5208333333333 21.8875 23.2916666666667 20.0166666666667 17.8375 17.9083333333333 23.4333333333333
2007 Jan 21 20.5583333333333 20.5583333333333 20.2958333333333 20.5208333333333 21.8875 23.2916666666667 20.0166666666667 17.8375 17.9083333333333 20.2958333333333 20.5208333333333 21.8875 23.2916666666667 20.0166666666667 17.8375 17.9083333333333
2007 Jan 22 21.9541666666667 21.9541666666667 20.5583333333333 20.2958333333333 20.5208333333333 21.8875 23.2916666666667 20.0166666666667 17.8375 20.5583333333333 20.2958333333333 20.5208333333333 21.8875 23.2916666666667 20.0166666666667 17.8375
2007 Jan 23 24.7583333333333 24.7583333333333 21.9541666666667 20.5583333333333 20.2958333333333 20.5208333333333 21.8875 23.2916666666667 20.0166666666667 21.9541666666667 20.5583333333333 20.2958333333333 20.5208333333333 21.8875 23.2916666666667 20.0166666666667
2007 Jan 24 24.1833333333333 24.1833333333333 24.7583333333333 21.9541666666667 20.5583333333333 20.2958333333333 20.5208333333333 21.8875 23.2916666666667 24.7583333333333 21.9541666666667 20.5583333333333 20.2958333333333 20.5208333333333 21.8875 23.2916666666667
2007 Jan 25 22.6916666666667 22.6916666666667 24.1833333333333 24.7583333333333 21.9541666666667 20.5583333333333 20.2958333333333 20.5208333333333 21.8875 24.1833333333333 24.7583333333333 21.9541666666667 20.5583333333333 20.2958333333333 20.5208333333333 21.8875
2007 Jan 26 24.1 24.1 22.6916666666667 24.1833333333333 24.7583333333333 21.9541666666667 20.5583333333333 20.2958333333333 20.5208333333333 22.6916666666667 24.1833333333333 24.7583333333333 21.9541666666667 20.5583333333333 20.2958333333333 20.5208333333333
2007 Jan 27 23.3916666666667 23.3916666666667 24.1 22.6916666666667 24.1833333333333 24.7583333333333 21.9541666666667 20.5583333333333 20.2958333333333 24.1 22.6916666666667 24.1833333333333 24.7583333333333 21.9541666666667 20.5583333333333 20.2958333333333
2007 Jan 28 21.9166666666667 21.9166666666667 23.3916666666667 24.1 22.6916666666667 24.1833333333333 24.7583333333333 21.9541666666667 20.5583333333333 23.3916666666667 24.1 22.6916666666667 24.1833333333333 24.7583333333333 21.9541666666667 20.5583333333333
